Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:08:18;07:09:06;07:09:00;07:09:42;;;;;;;00:00:42;00:00:36;Scheduled stop;0;00:00:48;00:00:42;;;;;;;;;;−6;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:26:18;07:33:12;07:27:00;07:33:42;00:17:18;00:17:18;00:23:30;00:23:30;00:17:18;00:23:30;00:00:42;00:00:30;Scheduled stop;0;00:06:54;00:06:42;00:18:00;00:18:00;00:24:06;00:24:06;00:18:00;00:18:00;00:24:00;00:24:00;372;−12;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:08:18;07:09:15;07:09:00;07:09:59;;;;;;;00:00:42;00:00:44;Scheduled stop;0;00:00:57;00:00:59;;;;;;;;;;2;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:26:18;07:27:50;07:27:00;07:28:18;00:17:18;00:17:18;00:17:51;00:17:51;00:17:18;00:17:51;00:00:42;00:00:28;Scheduled stop;0;00:01:32;00:01:18;00:18:00;00:18:00;00:18:35;00:18:35;00:18:00;00:18:00;00:18:19;00:18:19;33;−14;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:08:18;07:14:42;07:09:00;07:15:16;;;;;;;00:00:42;00:00:34;Scheduled stop;0;00:06:24;00:06:16;;;;;;;;;;−8;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:26:18;07:47:02;07:27:00;07:47:34;00:17:18;00:17:18;00:31:46;00:31:46;00:17:18;00:31:46;00:00:42;00:00:32;Scheduled stop;0;00:20:44;00:20:34;00:18:00;00:18:00;00:32:20;00:32:20;00:18:00;00:18:00;00:32:18;00:32:18;868;−10;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:08:18;07:09:11;07:09:00;07:10:08;;;;;;;00:00:42;00:00:57;Scheduled stop;0;00:00:53;00:01:08;;;;;;;;;;15;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:26:18;07:35:49;07:27:00;07:36:25;00:17:18;00:17:18;00:25:41;00:25:41;00:17:18;00:25:41;00:00:42;00:00:36;Scheduled stop;0;00:09:31;00:09:25;00:18:00;00:18:00;00:26:38;00:26:38;00:18:00;00:18:00;00:26:17;00:26:17;503;−6;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:08:18;07:08:22;07:09:00;07:09:03;;;;;;;00:00:42;00:00:41;Scheduled stop;0;00:00:04;00:00:03;;;;;;;;;;−1;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:26:18;07:34:58;07:27:00;07:35:27;00:17:18;00:17:18;00:25:55;00:25:55;00:17:18;00:25:55;00:00:42;00:00:29;Scheduled stop;0;00:08:40;00:08:27;00:18:00;00:18:00;00:26:36;00:26:36;00:18:00;00:18:00;00:26:24;00:26:24;517;−13;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:08:18;07:09:31;07:09:00;07:10:00;;;;;;;00:00:42;00:00:29;Scheduled stop;0;00:01:13;00:01:00;;;;;;;;;;−13;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:26:18;07:36:20;07:27:00;07:37:02;00:17:18;00:17:18;00:26:20;00:26:20;00:17:18;00:26:20;00:00:42;00:00:42;Scheduled stop;0;00:10:02;00:10:02;00:18:00;00:18:00;00:26:49;00:26:49;00:18:00;00:18:00;00:27:02;00:27:02;542;0;0;0;0;0;0
7;0;/Ner (Southbound)/Solna - Älvsjö (1001);1035;1035;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:08:18;07:09:12;07:09:00;07:10:20;;;;;;;00:00:42;00:01:08;Scheduled stop;0;00:00:54;00:01:20;;;;;;;;;;26;0;0;0;0;0
