Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:10:18;06:25:19;06:11:00;06:25:58;;;;;;;00:00:42;00:00:39;Scheduled stop;0;00:15:01;00:14:58;;;;;;;;;;−3;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:28:18;06:45:49;06:29:00;06:46:21;00:17:18;00:17:18;00:19:51;00:19:51;00:17:18;00:19:51;00:00:42;00:00:32;Scheduled stop;0;00:17:31;00:17:21;00:18:00;00:18:00;00:20:30;00:20:30;00:18:00;00:18:00;00:20:23;00:20:23;153;−10;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:10:18;06:12:02;06:11:00;06:12:31;;;;;;;00:00:42;00:00:29;Scheduled stop;0;00:01:44;00:01:31;;;;;;;;;;−13;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:28:18;06:28:18;06:29:00;06:29:00;00:17:18;00:17:18;00:15:47;00:15:47;00:17:18;00:15:47;00:00:42;00:00:42;Scheduled stop;0;00:00:00;00:00:00;00:18:00;00:18:00;00:16:16;00:16:16;00:18:00;00:18:00;00:16:29;00:16:29;−91;0;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:10:18;06:11:10;06:11:00;06:12:20;;;;;;;00:00:42;00:01:10;Scheduled stop;0;00:00:52;00:01:20;;;;;;;;;;28;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:28:18;06:28:23;06:29:00;06:29:05;00:17:18;00:17:18;00:16:03;00:16:03;00:17:18;00:16:03;00:00:42;00:00:42;Scheduled stop;0;00:00:05;00:00:05;00:18:00;00:18:00;00:17:13;00:17:13;00:18:00;00:18:00;00:16:45;00:16:45;−75;0;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:10:18;06:10:59;06:11:00;06:11:41;;;;;;;00:00:42;00:00:42;Scheduled stop;0;00:00:41;00:00:41;;;;;;;;;;0;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:28:18;06:30:01;06:29:00;06:30:39;00:17:18;00:17:18;00:18:20;00:18:20;00:17:18;00:18:20;00:00:42;00:00:38;Scheduled stop;0;00:01:43;00:01:39;00:18:00;00:18:00;00:19:02;00:19:02;00:18:00;00:18:00;00:18:58;00:18:58;62;−4;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:10:18;06:10:44;06:11:00;06:11:40;;;;;;;00:00:42;00:00:56;Scheduled stop;0;00:00:26;00:00:40;;;;;;;;;;14;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1005;1005;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:28:18;06:30:18;06:29:00;06:31:00;00:17:18;00:17:18;00:18:38;00:18:38;00:17:18;00:18:38;00:00:42;00:00:42;Scheduled stop;0;00:02:00;00:02:00;00:18:00;00:18:00;00:19:34;00:19:34;00:18:00;00:18:00;00:19:20;00:19:20;80;0;0;0;0;0;0
