Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:04:18;08:04:55;08:05:00;08:05:45;;;;;;;00:00:42;00:00:50;Scheduled stop;0;00:00:37;00:00:45;;;;;;;;;;8;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;08:22:18;08:30:55;08:23:00;08:31:23;00:17:18;00:17:18;00:25:10;00:25:10;00:17:18;00:25:10;00:00:42;00:00:28;Scheduled stop;0;00:08:37;00:08:23;00:18:00;00:18:00;00:26:00;00:26:00;00:18:00;00:18:00;00:25:38;00:25:38;472;−14;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:04:18;08:06:08;08:05:00;08:06:55;;;;;;;00:00:42;00:00:47;Scheduled stop;0;00:01:50;00:01:55;;;;;;;;;;5;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;08:22:18;08:27:35;08:23:00;08:28:13;00:17:18;00:17:18;00:20:40;00:20:40;00:17:18;00:20:40;00:00:42;00:00:38;Scheduled stop;0;00:05:17;00:05:13;00:18:00;00:18:00;00:21:27;00:21:27;00:18:00;00:18:00;00:21:18;00:21:18;202;−4;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:04:18;08:05:35;08:05:00;08:06:45;;;;;;;00:00:42;00:01:10;Scheduled stop;0;00:01:17;00:01:45;;;;;;;;;;28;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;08:22:18;08:34:28;08:23:00;08:34:57;00:17:18;00:17:18;00:27:43;00:27:43;00:17:18;00:27:43;00:00:42;00:00:29;Scheduled stop;0;00:12:10;00:11:57;00:18:00;00:18:00;00:28:53;00:28:53;00:18:00;00:18:00;00:28:12;00:28:12;625;−13;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:04:18;08:04:20;08:05:00;08:05:09;;;;;;;00:00:42;00:00:49;Scheduled stop;0;00:00:02;00:00:09;;;;;;;;;;7;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;08:22:18;08:22:42;08:23:00;08:23:12;00:17:18;00:17:18;00:17:33;00:17:33;00:17:18;00:17:33;00:00:42;00:00:30;Scheduled stop;0;00:00:24;00:00:12;00:18:00;00:18:00;00:18:22;00:18:22;00:18:00;00:18:00;00:18:03;00:18:03;15;−12;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:04:18;08:04:28;08:05:00;08:05:17;;;;;;;00:00:42;00:00:49;Scheduled stop;0;00:00:10;00:00:17;;;;;;;;;;7;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1063;1063;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;08:22:18;08:31:52;08:23:00;08:32:34;00:17:18;00:17:18;00:26:35;00:26:35;00:17:18;00:26:35;00:00:42;00:00:42;Scheduled stop;0;00:09:34;00:09:34;00:18:00;00:18:00;00:27:24;00:27:24;00:18:00;00:18:00;00:27:17;00:27:17;557;0;0;0;0;0;0
