Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:25:59;06:26:00;06:27:10;;;;;;;00:00:42;00:01:11;Scheduled stop;0;00:00:41;00:01:10;;;;;;;;;;29;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:43:22;06:44:00;06:44:01;00:17:18;00:17:18;00:16:12;00:16:12;00:17:18;00:16:12;00:00:42;00:00:39;Scheduled stop;0;00:00:04;00:00:01;00:18:00;00:18:00;00:17:23;00:17:23;00:18:00;00:18:00;00:16:51;00:16:51;−66;−3;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:26:11;06:26:00;06:26:39;;;;;;;00:00:42;00:00:28;Scheduled stop;0;00:00:53;00:00:39;;;;;;;;;;−14;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:43:18;06:44:00;06:44:00;00:17:18;00:17:18;00:16:39;00:16:39;00:17:18;00:16:39;00:00:42;00:00:42;Scheduled stop;0;00:00:00;00:00:00;00:18:00;00:18:00;00:17:07;00:17:07;00:18:00;00:18:00;00:17:21;00:17:21;−39;0;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:27:41;06:26:00;06:28:31;;;;;;;00:00:42;00:00:50;Scheduled stop;0;00:02:23;00:02:31;;;;;;;;;;8;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:44:32;06:44:00;06:45:14;00:17:18;00:17:18;00:16:01;00:16:01;00:17:18;00:16:01;00:00:42;00:00:42;Scheduled stop;0;00:01:14;00:01:14;00:18:00;00:18:00;00:16:51;00:16:51;00:18:00;00:18:00;00:16:43;00:16:43;−77;0;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:25:29;06:26:00;06:26:04;;;;;;;00:00:42;00:00:35;Scheduled stop;0;00:00:11;00:00:04;;;;;;;;;;−7;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:43:37;06:44:00;06:44:03;00:17:18;00:17:18;00:17:33;00:17:33;00:17:18;00:17:33;00:00:42;00:00:26;Scheduled stop;0;00:00:19;00:00:03;00:18:00;00:18:00;00:18:08;00:18:08;00:18:00;00:18:00;00:17:59;00:17:59;15;−16;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:27:01;06:26:00;06:27:40;;;;;;;00:00:42;00:00:39;Scheduled stop;0;00:01:43;00:01:40;;;;;;;;;;−3;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:45:15;06:44:00;06:45:50;00:17:18;00:17:18;00:17:35;00:17:35;00:17:18;00:17:35;00:00:42;00:00:35;Scheduled stop;0;00:01:57;00:01:50;00:18:00;00:18:00;00:18:14;00:18:14;00:18:00;00:18:00;00:18:10;00:18:10;17;−7;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:25:59;06:26:00;06:26:50;;;;;;;00:00:42;00:00:51;Scheduled stop;0;00:00:41;00:00:50;;;;;;;;;;9;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:44:18;06:44:00;06:45:00;00:17:18;00:17:18;00:17:28;00:17:28;00:17:18;00:17:28;00:00:42;00:00:42;Scheduled stop;0;00:01:00;00:01:00;00:18:00;00:18:00;00:18:19;00:18:19;00:18:00;00:18:00;00:18:10;00:18:10;10;0;0;0;0;0;0
7;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:26:11;06:26:00;06:27:23;;;;;;;00:00:42;00:01:12;Scheduled stop;0;00:00:53;00:01:23;;;;;;;;;;30;0;0;0;0;0
7;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:44:12;06:44:00;06:44:46;00:17:18;00:17:18;00:16:49;00:16:49;00:17:18;00:16:49;00:00:42;00:00:34;Scheduled stop;0;00:00:54;00:00:46;00:18:00;00:18:00;00:18:01;00:18:01;00:18:00;00:18:00;00:17:23;00:17:23;−29;−8;0;0;0;0;0
8;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:28:21;06:26:00;06:28:48;;;;;;;00:00:42;00:00:27;Scheduled stop;0;00:03:03;00:02:48;;;;;;;;;;−15;0;0;0;0;0
8;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:43:54;06:44:00;06:44:25;00:17:18;00:17:18;00:15:06;00:15:06;00:17:18;00:15:06;00:00:42;00:00:31;Scheduled stop;0;00:00:36;00:00:25;00:18:00;00:18:00;00:15:33;00:15:33;00:18:00;00:18:00;00:15:37;00:15:37;−132;−11;0;0;0;0;0
9;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:29:05;06:26:00;06:29:39;;;;;;;00:00:42;00:00:34;Scheduled stop;0;00:03:47;00:03:39;;;;;;;;;;−8;0;0;0;0;0
9;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:48:09;06:44:00;06:48:51;00:17:18;00:17:18;00:18:30;00:18:30;00:17:18;00:18:30;00:00:42;00:00:42;Scheduled stop;0;00:04:51;00:04:51;00:18:00;00:18:00;00:19:04;00:19:04;00:18:00;00:18:00;00:19:12;00:19:12;72;0;0;0;0;0;0
10;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:28:35;06:26:00;06:29:07;;;;;;;00:00:42;00:00:32;Scheduled stop;0;00:03:17;00:03:07;;;;;;;;;;−10;0;0;0;0;0
10;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:48:06;06:44:00;06:48:48;00:17:18;00:17:18;00:18:59;00:18:59;00:17:18;00:18:59;00:00:42;00:00:42;Scheduled stop;0;00:04:48;00:04:48;00:18:00;00:18:00;00:19:31;00:19:31;00:18:00;00:18:00;00:19:41;00:19:41;101;0;0;0;0;0;0
11;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:25:51;06:26:00;06:26:19;;;;;;;00:00:42;00:00:28;Scheduled stop;0;00:00:33;00:00:19;;;;;;;;;;−14;0;0;0;0;0
11;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:43:52;06:44:00;06:44:20;00:17:18;00:17:18;00:17:33;00:17:33;00:17:18;00:17:33;00:00:42;00:00:28;Scheduled stop;0;00:00:34;00:00:20;00:18:00;00:18:00;00:18:01;00:18:01;00:18:00;00:18:00;00:18:01;00:18:01;15;−14;0;0;0;0;0
12;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:28:13;06:26:00;06:29:16;;;;;;;00:00:42;00:01:03;Scheduled stop;0;00:02:55;00:03:16;;;;;;;;;;21;0;0;0;0;0
12;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:48:14;06:44:00;06:49:00;00:17:18;00:17:18;00:18:58;00:18:58;00:17:18;00:18:58;00:00:42;00:00:46;Scheduled stop;0;00:04:56;00:05:00;00:18:00;00:18:00;00:20:01;00:20:01;00:18:00;00:18:00;00:19:44;00:19:44;100;4;0;0;0;0;0
13;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:25:26;06:26:00;06:26:00;;;;;;;00:00:42;00:00:34;Scheduled stop;0;00:00:08;00:00:00;;;;;;;;;;−8;0;0;0;0;0
13;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:43:33;06:44:00;06:44:15;00:17:18;00:17:18;00:17:33;00:17:33;00:17:18;00:17:33;00:00:42;00:00:42;Scheduled stop;0;00:00:15;00:00:15;00:18:00;00:18:00;00:18:07;00:18:07;00:18:00;00:18:00;00:18:15;00:18:15;15;0;0;0;0;0;0
14;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:25:46;06:26:00;06:26:28;;;;;;;00:00:42;00:00:42;Scheduled stop;0;00:00:28;00:00:28;;;;;;;;;;0;0;0;0;0;0
14;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:43:48;06:44:00;06:44:31;00:17:18;00:17:18;00:17:20;00:17:20;00:17:18;00:17:20;00:00:42;00:00:43;Scheduled stop;0;00:00:30;00:00:31;00:18:00;00:18:00;00:18:02;00:18:02;00:18:00;00:18:00;00:18:03;00:18:03;2;1;0;0;0;0;0
15;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:25:18;06:25:46;06:26:00;06:26:42;;;;;;;00:00:42;00:00:56;Scheduled stop;0;00:00:28;00:00:42;;;;;;;;;;14;0;0;0;0;0
15;0;/Ner (Southbound)/Solna - Älvsjö (1001);1011;1011;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:43:18;06:44:51;06:44:00;06:45:26;00:17:18;00:17:18;00:18:09;00:18:09;00:17:18;00:18:09;00:00:42;00:00:35;Scheduled stop;0;00:01:33;00:01:26;00:18:00;00:18:00;00:19:05;00:19:05;00:18:00;00:18:00;00:18:44;00:18:44;51;−7;0;0;0;0;0
