Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:16:18;06:22:45;06:17:00;06:23:21;;;;;;;00:00:42;00:00:36;Scheduled stop;0;00:06:27;00:06:21;;;;;;;;;;−6;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:34:18;06:42:09;06:35:00;06:42:45;00:17:18;00:17:18;00:18:48;00:18:48;00:17:18;00:18:48;00:00:42;00:00:36;Scheduled stop;0;00:07:51;00:07:45;00:18:00;00:18:00;00:19:24;00:19:24;00:18:00;00:18:00;00:19:24;00:19:24;90;−6;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:16:18;06:16:54;06:17:00;06:17:46;;;;;;;00:00:42;00:00:52;Scheduled stop;0;00:00:36;00:00:46;;;;;;;;;;10;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:34:18;06:37:11;06:35:00;06:37:43;00:17:18;00:17:18;00:19:25;00:19:25;00:17:18;00:19:25;00:00:42;00:00:32;Scheduled stop;0;00:02:53;00:02:43;00:18:00;00:18:00;00:20:17;00:20:17;00:18:00;00:18:00;00:19:57;00:19:57;127;−10;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:16:18;06:17:05;06:17:00;06:17:53;;;;;;;00:00:42;00:00:48;Scheduled stop;0;00:00:47;00:00:53;;;;;;;;;;6;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:34:18;06:38:12;06:35:00;06:38:52;00:17:18;00:17:18;00:20:19;00:20:19;00:17:18;00:20:19;00:00:42;00:00:40;Scheduled stop;0;00:03:54;00:03:52;00:18:00;00:18:00;00:21:07;00:21:07;00:18:00;00:18:00;00:20:59;00:20:59;181;−2;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:16:18;06:38:17;06:17:00;06:39:02;;;;;;;00:00:42;00:00:45;Scheduled stop;0;00:21:59;00:22:02;;;;;;;;;;3;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:34:18;07:01:57;06:35:00;07:02:38;00:17:18;00:17:18;00:22:55;00:22:55;00:17:18;00:22:55;00:00:42;00:00:41;Scheduled stop;0;00:27:39;00:27:38;00:18:00;00:18:00;00:23:40;00:23:40;00:18:00;00:18:00;00:23:36;00:23:36;337;−1;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;06:16:18;06:20:19;06:17:00;06:21:08;;;;;;;00:00:42;00:00:49;Scheduled stop;0;00:04:01;00:04:08;;;;;;;;;;7;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1009;1009;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;06:34:18;06:40:07;06:35:00;06:40:46;00:17:18;00:17:18;00:18:59;00:18:59;00:17:18;00:18:59;00:00:42;00:00:39;Scheduled stop;0;00:05:49;00:05:46;00:18:00;00:18:00;00:19:48;00:19:48;00:18:00;00:18:00;00:19:38;00:19:38;101;−3;0;0;0;0;0
