Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:52:48;08:53:06;08:53:30;08:53:34;;;;;;;00:00:42;00:00:28;Scheduled stop;0;00:00:18;00:00:04;;;;;;;;;;−14;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:10:48;09:10:48;09:11:30;09:11:30;00:17:18;00:17:18;00:17:14;00:17:14;00:17:18;00:17:14;00:00:42;00:00:42;Scheduled stop;0;00:00:00;00:00:00;00:18:00;00:18:00;00:17:42;00:17:42;00:18:00;00:18:00;00:17:56;00:17:56;−4;0;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:52:48;08:53:23;08:53:30;08:54:02;;;;;;;00:00:42;00:00:39;Scheduled stop;0;00:00:35;00:00:32;;;;;;;;;;−3;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:10:48;09:10:52;09:11:30;09:11:30;00:17:18;00:17:18;00:16:50;00:16:50;00:17:18;00:16:50;00:00:42;00:00:38;Scheduled stop;0;00:00:04;00:00:00;00:18:00;00:18:00;00:17:29;00:17:29;00:18:00;00:18:00;00:17:28;00:17:28;−28;−4;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:52:48;08:53:22;08:53:30;08:54:11;;;;;;;00:00:42;00:00:49;Scheduled stop;0;00:00:34;00:00:41;;;;;;;;;;7;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:10:48;09:11:15;09:11:30;09:11:49;00:17:18;00:17:18;00:17:04;00:17:04;00:17:18;00:17:04;00:00:42;00:00:34;Scheduled stop;0;00:00:27;00:00:19;00:18:00;00:18:00;00:17:53;00:17:53;00:18:00;00:18:00;00:17:38;00:17:38;−14;−8;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:52:48;08:53:31;08:53:30;08:54:00;;;;;;;00:00:42;00:00:29;Scheduled stop;0;00:00:43;00:00:30;;;;;;;;;;−13;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:10:48;09:12:35;09:11:30;09:13:17;00:17:18;00:17:18;00:18:35;00:18:35;00:17:18;00:18:35;00:00:42;00:00:42;Scheduled stop;0;00:01:47;00:01:47;00:18:00;00:18:00;00:19:04;00:19:04;00:18:00;00:18:00;00:19:17;00:19:17;77;0;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;08:52:48;08:52:48;08:53:30;08:53:30;;;;;;;00:00:42;00:00:42;Scheduled stop;0;00:00:00;00:00:00;;;;;;;;;;0;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1047;1047;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;09:10:48;09:10:58;09:11:30;09:11:40;00:17:18;00:17:18;00:17:28;00:17:28;00:17:18;00:17:28;00:00:42;00:00:42;Scheduled stop;0;00:00:10;00:00:10;00:18:00;00:18:00;00:18:10;00:18:10;00:18:00;00:18:00;00:18:10;00:18:10;10;0;0;0;0;0;0
