Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;09:44:18;09:44:51;09:45:00;09:46:28;;;;;;;00:00:42;00:01:37;Scheduled stop;0;00:00:33;00:01:28;;;;;;;;;;55;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;10:02:18;10:16:26;10:03:00;10:17:08;00:17:18;00:17:18;00:29:58;00:29:58;00:17:18;00:29:58;00:00:42;00:00:42;Scheduled stop;0;00:14:08;00:14:08;00:18:00;00:18:00;00:31:35;00:31:35;00:18:00;00:18:00;00:30:40;00:30:40;760;0;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;09:44:18;09:44:51;09:45:00;09:48:20;;;;;;;00:00:42;00:03:29;Scheduled stop;0;00:00:33;00:03:20;;;;;;;;;;167;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;10:02:18;10:17:50;10:03:00;10:18:24;00:17:18;00:17:18;00:29:30;00:29:30;00:17:18;00:29:30;00:00:42;00:00:34;Scheduled stop;0;00:15:32;00:15:24;00:18:00;00:18:00;00:32:59;00:32:59;00:18:00;00:18:00;00:30:04;00:30:04;732;−8;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;09:44:18;09:44:48;09:45:00;09:45:56;;;;;;;00:00:42;00:01:08;Scheduled stop;0;00:00:30;00:00:56;;;;;;;;;;26;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;10:02:18;10:18:37;10:03:00;10:19:18;00:17:18;00:17:18;00:32:41;00:32:41;00:17:18;00:32:41;00:00:42;00:00:41;Scheduled stop;0;00:16:19;00:16:18;00:18:00;00:18:00;00:33:49;00:33:49;00:18:00;00:18:00;00:33:22;00:33:22;923;−1;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;09:44:18;09:48:08;09:45:00;09:48:51;;;;;;;00:00:42;00:00:43;Scheduled stop;0;00:03:50;00:03:51;;;;;;;;;;1;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;10:02:18;10:24:59;10:03:00;10:25:42;00:17:18;00:17:18;00:36:08;00:36:08;00:17:18;00:36:08;00:00:42;00:00:43;Scheduled stop;0;00:22:41;00:22:42;00:18:00;00:18:00;00:36:51;00:36:51;00:18:00;00:18:00;00:36:51;00:36:51;1130;1;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;09:44:18;09:45:12;09:45:00;09:46:20;;;;;;;00:00:42;00:01:08;Scheduled stop;0;00:00:54;00:01:20;;;;;;;;;;26;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;10:02:18;10:17:12;10:03:00;10:17:40;00:17:18;00:17:18;00:30:52;00:30:52;00:17:18;00:30:52;00:00:42;00:00:28;Scheduled stop;0;00:14:54;00:14:40;00:18:00;00:18:00;00:32:00;00:32:00;00:18:00;00:18:00;00:31:20;00:31:20;814;−14;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;09:44:18;09:44:38;09:45:00;09:46:41;;;;;;;00:00:42;00:02:03;Scheduled stop;0;00:00:20;00:01:41;;;;;;;;;;81;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;10:02:18;10:19:51;10:03:00;10:20:27;00:17:18;00:17:18;00:33:10;00:33:10;00:17:18;00:33:10;00:00:42;00:00:36;Scheduled stop;0;00:17:33;00:17:27;00:18:00;00:18:00;00:35:13;00:35:13;00:18:00;00:18:00;00:33:46;00:33:46;952;−6;0;0;0;0;0
7;0;/Ner (Southbound)/Solna - Älvsjö (1001);1113;1113;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;09:44:18;09:45:02;09:45:00;09:47:34;;;;;;;00:00:42;00:02:32;Scheduled stop;0;00:00:44;00:02:34;;;;;;;;;;110;0;0;0;0;0
