Simulation no.;Deadlock;Pattern;Train no.;Train name;Train class;Train category;Train formation ID;Abbreviation of train formation;Station index;Station abbreviation;Station name;Line abbr.;Route;Scheduled track;Actual track;Replatforming;Scheduled arrival;Actual arrival;SchedDep;Actual departure;Sched. run time;Total (scheduled run time);Actual run time;Total (actual run time);Scheduled travel time;Actual travel time;Scheduled dwell time;Actual dwell time;StopType;Change of direction of travel;Arrival lateness;Departure lateness;Difference scheduled arrival;Total (Difference scheduled arrival);Difference actual arrival;Total (Difference actual arrival);Difference scheduled departure;Total (Difference scheduled departure);Difference actual departure;Total (Difference actual departure);Progression of arrival lateness (sec);Progression of departure lateness (s);Number of passengers;Boarding passengers;Alighting passengers;Boarding transfer passengers;Alighting transfer passengers
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:12:48;07:13:00;07:18:21;;;;;;;00:00:42;00:05:33;Scheduled stop;0;00:00:30;00:05:21;;;;;;;;;;291;0;0;0;0;0
1;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;07:50:03;07:31:00;07:50:35;00:17:18;00:17:18;00:31:42;00:31:42;00:17:18;00:31:42;00:00:42;00:00:32;Scheduled stop;0;00:19:45;00:19:35;00:18:00;00:18:00;00:37:15;00:37:15;00:18:00;00:18:00;00:32:14;00:32:14;864;−10;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:18:18;07:13:00;07:22:06;;;;;;;00:00:42;00:03:48;Scheduled stop;0;00:06:00;00:09:06;;;;;;;;;;186;0;0;0;0;0
2;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;07:55:39;07:31:00;07:56:21;00:17:18;00:17:18;00:33:33;00:33:33;00:17:18;00:33:33;00:00:42;00:00:42;Scheduled stop;0;00:25:21;00:25:21;00:18:00;00:18:00;00:37:21;00:37:21;00:18:00;00:18:00;00:34:15;00:34:15;975;0;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:29:59;07:13:00;07:33:34;;;;;;;00:00:42;00:03:35;Scheduled stop;0;00:17:41;00:20:34;;;;;;;;;;173;0;0;0;0;0
3;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;08:01:33;07:31:00;08:02:16;00:17:18;00:17:18;00:27:59;00:27:59;00:17:18;00:27:59;00:00:42;00:00:43;Scheduled stop;0;00:31:15;00:31:16;00:18:00;00:18:00;00:31:34;00:31:34;00:18:00;00:18:00;00:28:42;00:28:42;641;1;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:16:33;07:13:00;07:20:26;;;;;;;00:00:42;00:03:53;Scheduled stop;0;00:04:15;00:07:26;;;;;;;;;;191;0;0;0;0;0
4;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;07:50:10;07:31:00;07:50:50;00:17:18;00:17:18;00:29:44;00:29:44;00:17:18;00:29:44;00:00:42;00:00:40;Scheduled stop;0;00:19:52;00:19:50;00:18:00;00:18:00;00:33:37;00:33:37;00:18:00;00:18:00;00:30:24;00:30:24;746;−2;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:15:27;07:13:00;07:20:38;;;;;;;00:00:42;00:05:11;Scheduled stop;0;00:03:09;00:07:38;;;;;;;;;;269;0;0;0;0;0
5;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;07:51:30;07:31:00;07:52:07;00:17:18;00:17:18;00:30:52;00:30:52;00:17:18;00:30:52;00:00:42;00:00:37;Scheduled stop;0;00:21:12;00:21:07;00:18:00;00:18:00;00:36:03;00:36:03;00:18:00;00:18:00;00:31:29;00:31:29;814;−5;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:14:18;07:13:00;07:17:55;;;;;;;00:00:42;00:03:37;Scheduled stop;0;00:02:00;00:04:55;;;;;;;;;;175;0;0;0;0;0
6;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;07:51:55;07:31:00;07:52:22;00:17:18;00:17:18;00:34:00;00:34:00;00:17:18;00:34:00;00:00:42;00:00:27;Scheduled stop;0;00:21:37;00:21:22;00:18:00;00:18:00;00:37:37;00:37:37;00:18:00;00:18:00;00:34:27;00:34:27;1002;−15;0;0;0;0;0
7;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:16:01;07:13:00;07:19:43;;;;;;;00:00:42;00:03:42;Scheduled stop;0;00:03:43;00:06:43;;;;;;;;;;180;0;0;0;0;0
7;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;07:52:04;07:31:00;07:52:31;00:17:18;00:17:18;00:32:21;00:32:21;00:17:18;00:32:21;00:00:42;00:00:27;Scheduled stop;0;00:21:46;00:21:31;00:18:00;00:18:00;00:36:03;00:36:03;00:18:00;00:18:00;00:32:48;00:32:48;903;−15;0;0;0;0;0
8;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:13:42;07:13:00;07:18:52;;;;;;;00:00:42;00:05:10;Scheduled stop;0;00:01:24;00:05:52;;;;;;;;;;268;0;0;0;0;0
8;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;07:50:54;07:31:00;07:51:20;00:17:18;00:17:18;00:32:02;00:32:02;00:17:18;00:32:02;00:00:42;00:00:26;Scheduled stop;0;00:20:36;00:20:20;00:18:00;00:18:00;00:37:12;00:37:12;00:18:00;00:18:00;00:32:28;00:32:28;884;−16;0;0;0;0;0
9;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:15:25;07:13:00;07:18:39;;;;;;;00:00:42;00:03:14;Scheduled stop;0;00:03:07;00:05:39;;;;;;;;;;152;0;0;0;0;0
9;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;07:49:00;07:31:00;07:49:31;00:17:18;00:17:18;00:30:21;00:30:21;00:17:18;00:30:21;00:00:42;00:00:31;Scheduled stop;0;00:18:42;00:18:31;00:18:00;00:18:00;00:33:35;00:33:35;00:18:00;00:18:00;00:30:52;00:30:52;783;−11;0;0;0;0;0
10;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:30:44;07:13:00;07:34:18;;;;;;;00:00:42;00:03:34;Scheduled stop;0;00:18:26;00:21:18;;;;;;;;;;172;0;0;0;0;0
10;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;7;Äs;Älvsjö;401a;[Åbe]-[401/N2S]-[4]-[Sta]-[410a/3] (2);Äs E-4;Äs E-4;0;07:30:18;08:02:49;07:31:00;08:03:26;00:17:18;00:17:18;00:28:31;00:28:31;00:17:18;00:28:31;00:00:42;00:00:37;Scheduled stop;0;00:32:31;00:32:26;00:18:00;00:18:00;00:32:05;00:32:05;00:18:00;00:18:00;00:29:08;00:29:08;673;−5;0;0;0;0;0
11;0;/Ner (Southbound)/Solna - Älvsjö (1001);1037;1037;S;;PX600216;X60,X60;1;So;Solna;401b;[Udl]-[433/N2]-[3]-[Ke]-[433/N2] (1);So E N2-2;So E N2-2;0;07:12:18;07:12:18;07:13:00;07:18:31;;;;;;;00:00:42;00:06:13;Scheduled stop;0;00:00:00;00:05:31;;;;;;;;;;331;0;0;0;0;0
